screening_id,pmid,layer,benchmarking_relevance,evidence_verification_level,gaps,title
PUBMED_0131,30716697,epithelium_limbus,medium,abstract_only,optical;mechanical,Poly-l/dl-lactic acid films functionalized with collagen IV as carrier substrata for corneal epithelial stem cells.
PUBMED_0602,36370413,epithelium_limbus,medium,abstract_only,optical;mechanical,An in vitro comparison of human corneal epithelial cell activity and inflammatory response on differently designed ocular amniotic membranes and a clinical case study.
PUBMED_0626,36729619,stroma,medium,abstract_only,optical;mechanical,Intracorneal Implantation of 3D Bioprinted Scaffolds Containing Mesenchymal Stromal Cells Using Femtosecond-Laser-Assisted Intrastromal Keratoplasty.
PUBMED_0032,29413615,endothelium,medium,abstract_only,mechanical,Functionalized silk fibroin film scaffold using β-Carotene for cornea endothelial cell regeneration.
PUBMED_0826,39375390,epithelium_limbus,medium,abstract_only,mechanical,Bio-printing method as a novel approach to obtain a fibrin scaffold settled by limbal epithelial cells for corneal regeneration.
PUBMED_1009,41218465,endothelium,medium,abstract_only,optical,Matrix stiffness modulates YAP-mediated glycolysis and proliferation in human corneal endothelial cells.
PUBMED_0320,32781567,epithelium_limbus,medium,abstract_only,optical,Poly(ε-caprolactone) Titanium Dioxide and Cefuroxime Antimicrobial Scaffolds for Cultivation of Human Limbal Stem Cells.
PUBMED_0601,36356877,stroma,medium,abstract_only,optical,Silk fibroin based interpenetrating network hydrogel for corneal stromal regeneration.
PUBMED_0947,40613723,stroma,medium,abstract_only,optical,A graphene oxide/niobium carbide MXene composite-based functional nanocomposite scaffold for artificial corneas.
PUBMED_0038,29495264,multiple_layers,medium,abstract_only,optical,Engineering of Corneal Tissue through an Aligned PVA/Collagen Composite Nanofibrous Electrospun Scaffold.
PUBMED_0049,29637812,multiple_layers,medium,abstract_only,optical,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.
PUBMED_0468,34537415,multiple_layers,medium,abstract_only,optical,Supramolecular host-guest hyaluronic acid hydrogels enhance corneal wound healing through dynamic spatiotemporal effects.
