screening_id,pmid,year,journal,doi,_layer,biomaterial_category,specific_materials,fabrication_method,cell_type_used,cell_source,optical_transparency_reported,mechanical_testing_reported,biological_testing_reported,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,translational_readiness_level,benchmarking_relevance,main_outcomes,main_limitations,evidence_verification_level
PUBMED_0322,32805263,2020,Experimental eye research,10.1016/j.exer.2020.108192,endothelium,decellularized xenogeneic (porcine) Descemet stripping scaffold reseeded with stem-cell-derived corneal endothelial cells,ultra-thin decellularized porcine Descemet stripping (DS) scaffold reseeded with corneal endothelial cell lines or induced pluripotent stem cell (iPSC)-derived corneal endothelial cells (iCECs),"protocol optimized to prepare an ultra-thin, decellularized DS scaffold from porcine cornea; a drying method applied to reduce graft rolling and edema and increase transparency during culture; scaffold reseeded with corneal endothelial cell lines or iCECs and cultured for 7 days",corneal endothelial cell lines and induced pluripotent stem cell (iPSC)-derived corneal endothelial cells (iCECs),"not fully specified in the retrieved abstract; iCECs are iPSC-derived, species/donor origin of iPSCs and the comparator corneal endothelial cell line not stated",yes,unclear / not reported in abstract,yes,yes,no,no,no,"early preclinical (in vitro scaffold reseeding only, no animal or clinical evidence)",high,"An ultra-thin, decellularized porcine Descemet stripping (DS) scaffold, produced with a drying protocol that reduced graft rolling/edema and increased transparency, achieved over 90% light transparency versus control while retaining the native collagen matrix and clearing porcine-derived cells/xenoantigens; reseeded with corneal endothelial cell lines or iPSC-derived corneal endothelial cells (iCECs), the scaffold supported even cell distribution and survival of most cells over 7 days of culture, supporting the feasibility of this xenogeneic scaffold plus stem-cell-derived cell combination as a bio-engineered corneal endothelial graft precursor, with the authors explicitly noting future clinical studies are warranted.","No in vivo or ex vivo functional transplantation data reported despite the tissue-engineering goal (explicitly identified by the authors as future work); no mechanical/biomechanical testing reported; cell survival described only qualitatively (""most survived"") without a quantitative viability percentage; species/origin of the iCECs and comparator corneal endothelial cell line not detailed in the retrieved abstract.",abstract_only
PUBMED_0378,33448665,2021,Journal of tissue engineering and regenerative medicine,10.1002/term.3173,endothelium,"micropatterned synthetic polymer (polyacrylamide) cell-culture substrate, biomimetic Descemet's membrane surrogate","polyacrylamide (PA) hydrogel substrates, microfabricated with hexagonal surface topography, surface-modified with Collagen IV (Col IV)","PA hydrogels prepared in two micropatterned designs: a small pattern with physiologically relevant hexagon density (~2000 hexagons/mm^2) and a large, sparsely populated pattern (~400 hexagons/mm^2); substrates engineered with an elastic modulus similar to native Descemet's membrane (~50 kPa) and surface-functionalized with Collagen IV to mimic native DM biochemical content; bovine corneal endothelial cells seeded on small-patterned, large-patterned, and flat (unpatterned) substrate groups and behavior compared",bovine corneal endothelial cells,bovine (primary vs. cell-line source not specified in the retrieved abstract),no / not reported in abstract,yes,yes,yes,no,no,no,"early preclinical (in vitro only, no animal or clinical evidence)",high,"Polyacrylamide hydrogel substrates microfabricated with a hexagonal topography inspired by native corneal endothelial cell dimensions, tuned to an elastic modulus similar to native Descemet's membrane (~50 kPa) and functionalized with Collagen IV, significantly augmented bovine corneal endothelial cell monolayer formation: physiologically relevant small-pattern hexagon density (~2000 hexagons/mm^2) produced significantly higher proliferation (P=0.0004) and a significantly more densely populated monolayer than both flat (P=0.001) and sparsely patterned large-hexagon (P<0.0001) substrates, demonstrating that bioinspired surface topography can be used to engineer corneal endothelial cell substrates with desired cell density in vitro.","Bovine (not human) corneal endothelial cells used; purely in vitro substrate characterization, with no ex vivo or in vivo transplantation/graft functional testing; no optical transparency data reported despite this being a candidate Descemet's-membrane-mimetic biomaterial; specific numeric elastic modulus per hexagon pattern not separately reported beyond the ~50 kPa overall design target.",abstract_only
PUBMED_0379,33448808,2019,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00610,endothelium,chemically modified polysaccharide hydrogel membrane,"agarose (A) modified with four attachment signals: GRGD peptide (AR), lysine (AK), poly-lysine (AP), fish-derived gelatin (AG); AG identified as best performer",Agarose chemically conjugated with attachment ligands at varying conjugation ratios; bulk hydrogels formed then collapsed into ultrathin membranes under a controlled environment,primary rabbit corneal endothelial cells (CEC); other unspecified cell types also screened for attachment,rabbit (primary),yes,yes,yes,yes,no,no,no,"early preclinical (in vitro, extended culture)",high,"Among four ligand-modified agarose membrane variants, the gelatin-modified formulation (AG) combined high optical transparency (>96% transmittance), strong mechanical properties (tensile strength 49-60 MPa, modulus 525-596 MPa), a thin profile (~15 um), and long-term (>=4 week) CEC attachment/viability with functional marker expression (CD166, ZO-1, Na+/K+-ATPase) -- the leading candidate among the series for corneal endothelial keratoplasty scaffolds.","Rabbit (not human) primary cells; in vitro only, no animal transplantation or ex vivo evaluation reported in abstract; long-term biodegradation and in vivo host response not assessed.",abstract_only
PUBMED_0382,33463278,2020,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00562,endothelium,decellularized biological tissue carrier (non-mammalian source),fish-scale collagen membrane (FSCM),"fish scales decellularized, decalcified, and curved to form a membrane carrier",corneal endothelial cells (CECs),not specified as human/animal in abstract; seeded onto FSCM for implantation into rabbit anterior chambers,yes,partial,yes,yes,no,yes,no,early-to-mid preclinical (in vitro plus small-animal in vivo host-reaction evaluation),high,"Fish-scale collagen membrane (a non-mammalian, potentially lower-cost and lower-zoonotic-risk carrier source) seeded with corneal endothelial cells showed excellent transparency, adequate water content, good biocompatibility, normal-appearing CECs with ZO-1 tight junctions, and was implanted into rabbit anterior chambers to assess host tissue reaction.",Exact quantitative transparency/mechanical values not given in abstract; cell source species not specified in abstract; in vivo evaluation limited to short-term host tissue reaction rather than long-term functional/transplantation outcome.,abstract_only
PUBMED_0421,33939123,2022,Cell and tissue banking,10.1007/s10561-021-09931-x,endothelium,biologic (blood-derived) injectable/moldable hydrogel scaffold,"human platelet lysate (HPL) / fibrin blended scaffold at three fibrinogen concentrations: HPL/Fibrin 1 (10%, 28.9 mg/dl fibrinogen), HPL/Fibrin 2 (20%, 57.8 mg/dl), HPL/Fibrin 3 (30%, 86.7 mg/dl)",Human corneal endothelial cells (HCECs) isolated from human donors and encapsulated within HPL/fibrin scaffold blends prepared at three fibrinogen concentrations,"human corneal endothelial cells (HCECs), isolated from human donor corneas",human (primary donor),unclear / not reported in abstract,partial,yes,yes,no,no,no,"early preclinical (in vitro, primary human donor cells)",medium-high,"Among three HPL/fibrin blend concentrations, the lowest-fibrinogen formulation (HPL/Fibrin 1, 10%) showed the highest porosity, largest pore size, best cell attachment/morphology, and highest HCEC viability plus functional marker expression (Na+/K+-ATPase, ZO-1, vimentin), supporting HPL/Fibrin 1 as a candidate injectable/moldable scaffold for HCEC delivery and transplantation.","In vitro only, no animal or ex vivo transplantation model; short follow-up (up to 5 days); no optical transparency data; no quantitative mechanical (tensile/modulus) values reported in abstract.",abstract_only
PUBMED_0469,34552187,2021,Scientific reports,10.1038/s41598-021-98426-6,endothelium,"electrospun synthetic polymer nanofiber scaffold, blended with natural polymers","polycaprolactone (PCL) alone and blended with collagen, gelatin, or chitosan -- four groups compared: PCL, PCL/collagen, PCL/gelatin, PCL/chitosan",Electrospinning of PCL and PCL blends into nanofibrous matrices,HCEC-B4G12 (immortalized human corneal endothelial cell line),human (cell line),unclear / not reported in abstract,partial,yes,yes,no,no,no,early preclinical (in vitro material screening),high,"Among four electrospun PCL-based nanofiber scaffold variants, PCL/collagen and PCL/gelatin blends achieved the highest HCEC-B4G12 viability (97 +/- 3% and 98 +/- 2% respectively) and supported intact ZO-1/Na+/K+-ATPase functional marker expression, identifying blended PCL matrices as promising artificial posterior lamellar graft candidates for corneal endothelial keratoplasty.","Immortalized cell line (B4G12), not primary human cells; in vitro only, no animal or ex vivo evaluation; no optical transparency or quantitative mechanical (tensile/modulus) data reported in abstract.",abstract_only
PUBMED_0530,35229601,2022,ACS biomaterials science & engineering,10.1021/acsbiomaterials.2c00039,endothelium,decellularized xenogeneic (porcine) corneal stroma carrier for corneal endothelial cell sheets,"ultrathin (20 micron) acellular porcine corneal stroma (APCS) lamellae, cut via cryostat microtome, seeded with rabbit corneal endothelial cells (RCECs) and, for validation, human corneal endothelial cells (hCECs), to form tissue-engineered corneal endothelial sheets (TECES)",acellular porcine corneal stroma (APCS) cut into multiple 20-micron ultrathin lamellae using a cryostat microtome; RCECs (and hCECs for validation) seeded onto ultrathin APCS versus tissue-culture plastic and thicker APCS for comparison; resulting TECES constructs implanted into rabbit anterior chambers through small surgical incisions,"rabbit corneal endothelial cells (RCECs), with human corneal endothelial cells (hCECs) used for validation",rabbit (primary) and human (validation),unclear / not reported in abstract,partial,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"Ultrathin (20 micron) acellular porcine corneal stroma supported superior corneal endothelial cell viability and function compared to thicker APCS or tissue-culture plastic, forming a confluent monolayer (3726 cells/mm^2 at day 5) that expressed functional endothelial markers and began synthesizing Descemet's-membrane-like matrix (collagen IV, laminin) by day 14; the resulting flexible TECES constructs were successfully implanted into rabbit anterior chambers through small incisions, adhered to the posterior stroma, and were associated with a gradual return of corneal thickness toward normal.",Xenogeneic (porcine) carrier material introduces immunogenicity/regulatory considerations distinct from human-tissue or synthetic carriers; primary in vivo data used rabbit (not human) endothelial cells; no quantitative optical transmittance or tensile mechanical values reported; in vivo follow-up duration not specified numerically in abstract.,abstract_only
PUBMED_0531,35238557,2022,ACS applied materials & interfaces,10.1021/acsami.2c01709,endothelium,synthetic-natural hybrid composite carrier (biodegradable polymer coupled with decellularized mesenchymal-stem-cell-derived extracellular matrix),ECM-PLCL: poly(lactide-co-caprolactone) (PLCL) coupled with decellularized extracellular matrix (UMDM) derived from in vitro cultured human umbilical cord blood-derived mesenchymal stem cells (MSCs),"PLCL solution poured onto decellularized ECM (UMDM) derived from in vitro cultured umbilical cord blood-MSCs; once fully dried, the composite ECM-PLCL membrane was peeled off the substrate; surface characterized by atomic force microscopy (roughness, surface charge); human corneal endothelial cell line (B4G12) and primary rabbit corneal endothelial cells (CECs) seeded onto the carrier; a simulation engraftment test performed into decellularized porcine corneal tissue; the carrier transplanted into the anterior chamber of rabbit eyes and assessed after 8 weeks",human corneal endothelial cell line (B4G12) and primary rabbit corneal endothelial cells,human (B4G12 corneal endothelial cell line) and rabbit (primary corneal endothelial cells); underlying ECM derived from human umbilical cord blood-derived mesenchymal stem cells,yes,yes,yes,yes,yes,yes,no,"preclinical (animal model, rabbit, 8-week in vivo follow-up)",high,"A transparent, 20 micrometer-thick composite carrier (ECM-PLCL), formed by coupling biodegradable PLCL with decellularized ECM from umbilical-cord-blood-derived mesenchymal stem cells, was rough (54.0 +/- 4.50 nm) and positively charged (65.2 +/- 57.8 mV) with retained fibronectin/collagen IV content; it supported good attachment, normal cell density, and stable cell-cell junction phenotype (ZO-1, N-cadherin) of human corneal endothelial cells (B4G12) at 14 days, supported normal rabbit primary CEC morphology and marker expression, achieved high engraftment and viability in a simulated decellularized porcine cornea engraftment test, and maintained normal cornea properties after 8 weeks of in vivo transplantation into the rabbit anterior chamber -- positioning ECM-PLCL as a promising corneal endothelium graft carrier with an ECM-rich microenvironment for CECs.","No numeric bulk mechanical (tensile/elastic modulus) values or light-transmittance percentage given in the retrieved abstract; ""normal cornea properties"" maintained at 8 weeks is not further quantified (e.g., no corneal thickness or endothelial cell density numbers given); rabbit (not primate/human) in vivo model; sample size for the in vivo transplantation arm not specified.",abstract_only
PUBMED_0537,35358736,2022,Acta biomaterialia,10.1016/j.actbio.2022.03.039,endothelium,decellularized/crosslinked biological membrane (denuded amniotic membrane) with ECM protein coating,modified crosslinked denuded amniotic membrane (mcdAM): corneal crosslinking (CXL) treatment plus laminin (0.01 mg/mL) + fibronectin (0.1 mg/mL) coating designed to mimic native Descemet's membrane composition,"Denuded amniotic membrane (dAM) treated with corneal crosslinking (CXL), then coated with a laminin/fibronectin combination at optimized concentrations to mimic native DM; non-transfected human corneal endothelial (HCE) cells seeded to construct tissue-engineered HCE (TE-HCE)","human corneal endothelial (HCE) cells, non-transfected","human (non-transfected, cultured HCE cells)",yes,yes,yes,yes,no,yes,no,"preclinical (animal model, including non-human primate)",high,"Corneal crosslinking combined with laminin/fibronectin coating of denuded amniotic membrane produced a tissue-engineered HCE construct with high cell density (3612 +/- 243 cells/mm2), improved mechanical properties and biocompatibility, and maintained corneal transparency with normal histology after DMEK in both feline and non-human primate (monkey) models -- positioning mcdAM as a promising donor-independent equivalent for DMEK.","Exact follow-up duration and quantitative transparency/mechanical values not given in abstract; feline and monkey models used, neither is human; amniotic membrane sourcing/immunogenicity considerations not addressed in abstract.",abstract_only
PUBMED_0588,36080636,2022,Polymers,10.3390/polym14173556,endothelium,collagen-based vitrified membrane (vitrigel),"collagen type I vitrigel membrane (CVM); three thickness variants by collagen casting volume: 1X (2.8 uL/mm2), 2X, 3X",Collagen type I solution cast at increasing volumes (1X/2X/3X) and vitrified at 40% relative humidity and 40C using a shaking-oven/desiccator system with saturated K2CO3 solution,"corneal endothelial cells (CECs); species not fully specified for in vitro seeding, rabbit used for in vivo pilot transplantation",not fully specified in abstract for in vitro seeding; rabbit used in vivo,yes,partial,yes,yes,yes,yes,no,preclinical (ex vivo plus pilot animal model),high,"Collagen vitrigel membranes (CVMs), especially the 2X formulation, combined high optical transparency (94%, superior to native human cornea), a thin profile (3.65-7.2 um), suitability for ex vivo surgical manipulation, and successful pilot in vivo rabbit transplantation with CEC constructs promoting restoration of corneal transparency.","Described as 'preliminary results' -- small pilot study; exact animal numbers and follow-up duration, plus quantitative mechanical strength values, not given in abstract; cell source species for in vitro seeding not fully specified.",abstract_only
PUBMED_0649,37023465,2023,ACS biomaterials science & engineering,10.1021/acsbiomaterials.2c01566,endothelium,natural polymer film (non-mulberry silk fibroin),Philosamia ricini (PR) and Antheraea assamensis (AA) non-mulberry silk fibroin films; fibronectin-collagen (FNC)-coated plastic dishes used as comparator substrate,Silk films prepared from PR and AA silkworm species; comparator FNC-coated plastic dishes,human corneal endothelial (HCE) cells,human (cultured HCE cells; further donor detail not specified in abstract),unclear / not reported in abstract,partial,yes,yes,no,no,no,"early preclinical (in vitro, long-term mechanistic characterization)",high,"Long-term (30-day) culture of human corneal endothelial cells on non-mulberry (PR and AA) silk fibroin films produced ECM protein expression/thickness (collagen 8, laminin) and integrin expression profiles comparable to native corneal basement membrane, with the exception of significantly elevated alpha3 integrin expression; higher silk tensile strength did not alter ECM secretion or cell phenotype, supporting silk fibroin's suitability as a long-term HCE culture substrate.","In vitro only, no animal, ex vivo, or clinical evaluation; optical transparency not assessed in abstract; functional consequence of the altered alpha3 integrin expression not addressed; exact human cell source/donor characteristics not detailed in abstract.",abstract_only
